s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12
29876,29110,34211,37440,33331,30937,34273,20099,30780,33123,26153,31930
29590,29115,34137,37539,33399,30984,34212,20043,30722,32932,26496,31751
28872,29067,33725,37441,33350,30868,33840,19959,30683,32832,26640,31668
27618,28892,33238,37463,33365,30749,33618,19807,30560,32569,27190,31449
27539,28893,33212,37350,33251,30809,33233,19888,30100,32385,27343,31384
27607,28880,33300,37199,33636,30841,32947,19823,30257,32224,26915,31437
27504,28746,33166,37255,32785,30971,33208,20559,29946,31591,26778,31475
27741,28785,33145,37011,33522,30992,32991,20018,29810,32167,26445,31549
28473,28627,33124,36854,33001,31070,33219,20926,30143,31101,26330,31647
29895,28503,33370,36823,32615,31037,33408,20238,30178,31233,26022,31891
30640,28482,33720,36621,32359,30826,34119,20372,30148,31530,25389,32149
29767,27871,32867,36044,31886,30696,34428,19995,30070,31862,25503,32860
26113,26281,32081,35071,31690,30988,33968,20200,30365,31890,25463,32973
26391,25935,33030,34225,31555,31044,34380,19825,31382,31872,25439,31762
27020,25434,33667,35345,31946,30973,34432,19980,31589,31959,25757,31452
27487,25385,33794,35705,32009,30815,34440,23938,29562,32297,26547,30484
27715,25401,34016,36284,32410,30844,34395,32308,31856,33441,27008,29581
27393,25713,33945,36070,32446,30416,34482,32552,31265,34377,26984,28882
27180,25815,33861,35904,32347,30371,34742,32813,31215,34344,26539,28656
27206,25963,33753,35780,32332,30222,34845,32927,31361,34288,26254,28724
27136,26185,33620,35574,32068,30390,34763,32778,31452,34205,26383,28835
27357,26340,33567,35541,31941,30663,34093,31212,31677,33913,27287,28954
27357,26559,33603,34950,31797,30917,33497,26612,32774,34048,27918,29001
27410,26588,33783,34607,31763,31071,33397,25622,33219,34131,28070,29106
27441,26604,33763,34524,31745,31339,33240,24578,33711,34077,28228,29268
27738,26691,33960,34484,31727,31469,33294,24543,33813,33998,28254,29358
28235,26713,34159,34835,31683,31441,33384,24427,33761,33909,27628,29512
28482,26720,34272,34948,31629,31553,33599,24811,33354,33323,26023,29809
28797,26716,34424,35060,31536,31710,33860,25339,31991,32773,25473,30039
28732,26651,34379,35163,31579,31706,33985,25366,31274,32405,24743,31729
28503,26708,34233,35133,31538,31198,33798,24190,30181,32570,24960,34044
27350,27125,33845,34490,31292,30858,33644,21251,29443,32802,24580,35055
26522,26996,33456,34862,31374,30438,33965,20875,31150,32461,29709,36360
25448,26804,33184,35773,32354,30232,33949,18678,31299,32140,24272,34654
29474,28170,35064,36712,32865,30839,33583,18854,32033,31527,24288,33545
30567,28961,35058,37232,33230,30905,33573,18876,31848,31012,24843,32695
30231,29011,34807,37243,33142,31029,33599,18927,32071,30753,25317,32305
29365,29049,34559,37307,33280,30984,33491,18915,32075,30640,25637,32252
28198,29006,33970,37339,33346,30955,33314,18850,32010,30476,26281,32109
27773,28774,33724,37313,33374,30807,32881,18665,32072,30159,27049,31842
27365,28845,33611,37512,33423,30570,32587,18668,32021,30035,27265,31692
27346,28925,33687,37553,33369,30611,32594,18974,31835,29884,26972,31715
27362,28838,33692,37532,33306,30752,32549,19428,31705,29756,26670,31920
27662,28874,33664,37517,33660,30897,32453,19347,31675,29699,26115,32127
