s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12
26221,26781,33779,33097,31391,26934,33777,34319,35852,31769,25765,29921
26016,26755,33041,32930,31275,27093,33679,34614,36095,31603,25790,30096
25300,26455,32312,33146,31510,26821,33806,33450,35876,31483,25404,30596
24957,26092,31997,33393,31673,26355,34116,28474,37225,30390,22673,32222
25387,26961,31752,34400,31738,25653,34362,25264,35959,32800,21504,32932
25196,27465,32185,34828,32186,25839,34778,25673,35866,31681,22475,33676
25421,27689,32296,34920,32236,25836,33983,25111,35183,30730,24280,32872
25465,27883,32615,35222,32448,25685,33409,24152,34970,30391,24083,32615
25482,27905,32914,35390,31976,25687,33305,24328,34969,30378,24350,32340
25166,28097,32855,35734,33203,25680,32831,22847,35177,30325,23949,31802
25405,28040,32782,35752,32018,25717,33642,23865,34051,30527,23759,31760
25393,27172,33852,34152,32284,25603,33241,22550,33732,31172,24060,30069
25935,26752,32783,34538,30870,25651,32524,22510,36127,31383,23884,30144
26142,26290,32359,33480,31804,26214,33074,28280,35240,31845,24335,29606
26288,26378,32981,33457,31468,26348,33745,32927,34664,32109,24004,29770
26370,26453,33122,33318,31656,26742,34015,34144,35352,32163,23918,29798
26235,26527,33030,33197,31532,26846,34159,35497,35430,32151,23829,29819
25240,26652,32756,32979,31474,26933,34207,36096,35581,32133,24075,30129
25425,26664,32504,32795,31192,26986,34076,37064,35902,32105,24911,30255
26285,26627,32016,32854,30969,26940,33980,37531,36244,32072,25150,30283
25440,26420,31805,32964,30934,26786,34140,37572,36452,31823,25406,30575
24918,26016,31803,32940,31551,26135,34621,30795,36149,30620,22725,32510
25382,26069,32528,33700,31304,25833,34025,25587,37186,30882,21566,33189
26646,26985,33483,34319,31105,25979,34431,25585,35446,32887,22881,33935
25885,27134,33380,34573,32129,25835,33801,25187,35413,31338,24595,33164
25022,27224,33182,35322,32752,25380,33220,24875,35449,30865,24890,32612
25027,27349,33329,35523,32336,25371,33382,25176,35075,30779,26680,32486
25684,27471,33161,35644,32784,25342,33199,24430,34704,30586,24546,32341
25942,27596,33292,35558,32963,25393,33115,25076,34696,30355,24282,32362
25343,26885,34035,35250,32609,25263,33800,23345,33148,31377,23425,30369
25592,26516,32898,34119,31589,25582,31984,24005,37004,31421,24499,29952
25838,26051,32410,33421,31936,26218,32912,34251,35704,32207,25075,29885
25896,26224,33880,33208,31575,26400,33744,33956,35003,32321,24600,29936
25887,26247,33993,33291,31744,26656,33944,33827,35475,32160,24257,29915
25940,26313,34056,33154,31702,26932,34144,34775,35620,32150,24260,29960
26159,26369,34038,32985,31554,26984,34150,35818,35843,32117,24675,30191
26209,26416,33624,32886,31358,26978,34134,36671,36018,32082,24911,30283
26019,26386,33133,33105,31173,26828,34354,37151,36170,32065,25056,30537
25625,26190,32497,32796,31204,26597,34584,36313,35545,31792,24745,31211
25463,25694,31669,33560,31869,25780,34411,29174,36795,30622,21835,32208
25159,26504,33719,34480,31664,26166,34439,25748,36791,31738,26861,34455
26276,26666,33650,34450,31650,26083,34342,24992,35864,31826,24076,34021
26435,27018,33135,34650,32134,25799,33848,24291,35886,30482,24633,33646
25925,27366,33144,34898,32695,25763,33684,24401,35470,30177,24507,32949
25222,27481,33120,34879,32117,25850,33427,24674,34999,30169,24258,32231
25831,27582,33583,34938,32714,25932,33403,23826,34445,30389,23626,31643
26204,27091,35567,34552,32255,25979,33383,23826,34026,31058,23191,30610
24440,26234,31935,33239,33145,25804,33550,24160,36237,32823,22751,30179
25569,26265,32516,33407,31953,26308,33339,29250,34772,32593,26822,29557
24901,26454,33481,33056,31574,26443,33900,33530,34380,32707,22960,29637
24944,26491,33648,33265,31803,26729,34180,35057,34852,32640,22969,29570
24939,26526,33580,33047,31736,26937,34260,35478,35153,32716,23005,29616
24491,26660,33026,32812,31600,27096,34267,36267,35366,32713,23527,29837
24920,26684,32799,32693,31350,27252,34111,37312,35758,32651,24421,30007
25791,26637,32478,32651,31256,27323,34350,37433,36270,32612,24564,30169
25090,26221,31896,32839,31351,27241,34601,37068,35596,32242,24549,30783
24765,25641,31890,33354,31972,26306,34570,28301,36981,30962,21868,33071
24584,26435,33349,34221,31238,26149,34984,24781,35955,32934,27265,34496
25235,27027,32843,34261,31807,26120,34506,25040,35877,32211,24402,33465
24697,27237,32643,34450,32044,25875,33923,24014,35616,31220,25027,32873
25940,27319,32301,34705,32004,25713,33565,24570,35564,31057,25021,32710
25013,27412,32368,34891,32610,25688,33276,24281,35194,30692,24534,31874
25449,27195,31985,34684,32772,25779,32815,23272,34759,31344,24086,30934
24714,26576,31974,33703,32403,26096,31971,22205,34983,31804,24363,30520
24430,25832,30707,32998,32504,26081,33043,23714,37543,32843,24627,30301
25184,25971,31613,32764,31866,26641,33245,31611,35569,32435,23370,29700
25489,26334,31793,32766,31730,27059,34211,36224,35663,32826,23506,29700
25640,26393,31864,32782,31815,27126,34343,35971,36185,32672,23432,29770
25742,26443,32045,32762,31830,27351,34618,35851,36658,32662,26722,30279
25588,26664,32251,32776,31651,27493,34727,36132,36839,32660,27466,30373
25462,26583,32072,32832,31512,27551,34858,36699,37079,32475,24162,30403
25187,26382,31389,32654,31551,26920,34732,32702,36145,31853,23247,31567
24650,25887,31169,33770,32305,25967,34678,28892,37537,30990,22198,32501
25041,26618,31663,34527,31456,26294,34998,24951,36240,33102,23485,34178
25129,27097,31851,34405,32402,26076,34096,24438,36352,31434,23838,33206
24653,27325,31351,34499,32394,26056,33935,24393,36102,30950,24270,32446
25383,27425,31431,34795,32658,26060,33675,24353,35494,30603,23943,31964
24974,27709,31688,35151,32939,26127,33652,24604,35244,30616,23574,31897
24560,27712,31779,34996,32322,26110,33830,24683,35016,30725,23259,31443
24974,27530,32562,34854,32966,26029,33014,22549,34388,32852,24296,29978
25292,26518,31456,33502,31014,26541,33371,30041,34190,32424,23208,30677
25480,26238,32064,33375,32033,26874,33485,29088,35496,32170,23135,29663
24733,26475,32519,32961,31652,27123,34196,33693,35444,32538,22934,29949
24561,26472,32530,32867,31730,27325,34263,35933,35560,32631,22981,29915
24861,26508,32331,32769,31760,27425,34232,36374,35750,32636,23302,29981
24750,26520,32284,32662,31675,27647,34132,37102,36009,32588,23675,29950
24573,26566,31952,32477,31457,27774,34110,37567,36622,32356,24010,30013
25059,26492,31342,32672,31567,27765,34203,37572,37005,32389,27259,30443
24223,26200,31058,32898,31790,27111,34189,31521,36626,30822,22793,32021
24384,26076,31246,33715,32193,26428,34463,25081,36790,30713,22023,32744
25232,27145,31860,34653,31420,26537,34606,25469,36472,32066,23396,33770
24795,27444,31848,34654,32495,26330,34082,24979,36326,31130,24315,33012
24975,27560,31857,34893,32686,26401,33765,25045,35759,30899,24159,32711
24847,27699,32074,34848,32870,26488,33742,24907,35520,30750,23832,32489
26067,27790,32661,35116,33816,26356,33202,22534,35538,30539,23559,30954
25675,27330,34293,34732,31461,26443,33002,24359,35326,31037,22919,30748
24790,26259,31404,33226,33945,26556,33128,23419,37353,33485,22997,30693
24634,25845,30410,32373,30940,27082,33264,33184,35283,32611,23532,29791
25493,26123,31550,32470,30519,27321,34039,35870,35387,33193,23163,30024
24974,26281,32122,32817,31072,27349,33918,36805,35681,33126,23138,29994
25045,26359,32136,32461,30961,27591,33898,37816,35874,33204,23643,30248
25210,26449,31788,32224,30721,27667,33696,38369,35866,33207,24017,30363
24881,26511,31619,32262,30720,27755,33793,38499,36205,33032,24658,30557
24686,26416,31482,32336,30675,27656,33979,38366,36497,32817,24572,30867
25003,25662,30548,32882,31132,26964,34128,33240,36481,32227,23290,31432
24732,26317,31332,33446,31294,26424,34200,26627,37114,32744,26150,33363
24623,26737,31214,34347,31114,26658,33966,25440,36157,31927,23599,33003
24476,27158,31155,34487,31278,26422,33564,25000,36108,31523,23794,32835
25015,27365,31234,34648,31796,26385,33406,24550,35571,30900,24103,32298
24971,27514,31322,34898,31952,26354,33254,24974,35369,30640,24144,32131
24341,27819,31462,35065,31804,26466,33245,25331,35022,30786,23814,32140
25648,27790,32076,34911,32218,26180,33152,23880,34137,31570,23843,30337
24692,26532,31475,34597,32219,26635,32799,27948,36030,31895,23248,30501
